Country name,year,Happiness score,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.11199999999999999,0.436
Canada,2020,7.025,10.73,0.9309999999999999,74.0,0.887,0.05,0.434
Canada,2021,7.103,10.776,0.9259999999999999,73.8,0.915,0.08900000000000001,0.415
Chad,2021,4.355,7.364,0.619,48.478,0.579,0.040999999999999995,0.807
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.8320000000000001
Chile,2021,6.172000000000001,10.071,0.882,70.0,0.742,-0.044000000000000004,0.83
Chile,2019,5.942,10.095,0.8690000000000001,70.0,0.659,-0.10300000000000001,0.86
Chile,2020,6.151,10.02,0.888,70.1,0.7809999999999999,0.033,0.812
China,2021,5.3389999999999995,9.673,0.8109999999999999,69.593,0.904,-0.146,0.755
China,2019,5.144,9.687999999999999,0.8220000000000001,69.6,0.927,-0.17300000000000001,0.812
China,2020,5.771,9.702,0.8079999999999999,69.9,0.8909999999999999,-0.10300000000000001,0.812
Colombia,2021,6.0120000000000005,9.557,0.847,68.001,0.8370000000000001,-0.135,0.841
Colombia,2020,5.709,9.495,0.797,68.3,0.84,-0.085,0.8079999999999999
Colombia,2019,6.35,9.597999999999999,0.873,68.0,0.8220000000000001,-0.172,0.8540000000000001
Comoros,2019,4.609,8.033,0.632,57.5,0.5379999999999999,0.077,0.762
Comoros,2021,4.289,8.031,0.626,57.349,0.5479999999999999,0.08199999999999999,0.7809999999999999
Congo (Brazzaville),2021,5.3420000000000005,8.117,0.636,58.221000000000004,0.695,-0.068,0.745
Congo (Brazzaville),2019,5.212999999999999,8.101,0.625,58.5,0.6859999999999999,-0.046,0.741
Costa Rica,2019,6.997999999999999,9.885,0.9059999999999999,71.5,0.927,-0.146,0.836
Costa Rica,2021,7.069,9.88,0.8909999999999999,71.4,0.934,-0.126,0.809
Croatia,2019,5.626,10.258,0.9359999999999999,70.8,0.7390000000000001,-0.13699999999999998,0.932
Croatia,2021,5.882000000000001,10.217,0.924,70.79899999999999,0.754,-0.11800000000000001,0.9390000000000001
Croatia,2020,6.507999999999999,10.166,0.9229999999999999,71.4,0.8370000000000001,-0.063,0.961
Cyprus,2019,6.1370000000000005,10.585,0.7759999999999999,73.9,0.74,-0.008,0.865
Cyprus,2021,6.223,10.575999999999999,0.802,73.898,0.763,-0.015,0.8440000000000001
Czech Republic,2021,6.965,10.556,0.9470000000000001,70.807,0.858,-0.20800000000000002,0.868
Czech Republic,2020,6.897,10.53,0.9640000000000001,71.3,0.9059999999999999,-0.127,0.884
Denmark,2021,7.62,10.933,0.9540000000000001,72.7,0.946,0.03,0.179
Denmark,2020,7.515,10.91,0.9470000000000001,73.0,0.938,0.052000000000000005,0.214
Denmark,2019,7.693,10.954,0.958,72.7,0.963,0.02,0.174
Dominican Republic,2020,5.167999999999999,9.802,0.8059999999999999,66.4,0.835,-0.128,0.636
Dominican Republic,2019,6.004,9.821,0.884,66.1,0.877,-0.12300000000000001,0.746
Dominican Republic,2021,5.545,9.802,0.853,66.102,0.86,-0.133,0.7140000000000001
Ecuador,2021,5.763999999999999,9.312999999999999,0.821,68.8,0.8420000000000001,-0.124,0.843
Ecuador,2019,5.809,9.339,0.8079999999999999,68.8,0.83,-0.115,0.8390000000000001
Ecuador,2020,5.354,9.244,0.804,69.1,0.8290000000000001,-0.157,0.855
Egypt,2021,4.283,9.367,0.75,61.998000000000005,0.7490000000000001,-0.182,0.795
Egypt,2019,4.328,9.373,0.772,62.0,0.774,-0.19899999999999998,0.855
Egypt,2020,4.4719999999999995,9.383,0.6729999999999999,62.3,0.77,-0.11199999999999999,0.855
El Salvador,2020,5.462000000000001,9.019,0.696,66.7,0.924,-0.126,0.583
El Salvador,2021,6.061,9.054,0.762,66.402,0.888,-0.11,0.688
El Salvador,2019,6.455,9.08,0.764,66.4,0.877,-0.109,0.682
Estonia,2019,6.035,10.511,0.934,68.8,0.887,-0.096,0.5760000000000001
Estonia,2020,6.452999999999999,10.459000000000001,0.958,69.0,0.9540000000000001,-0.08199999999999999,0.39799999999999996
Estonia,2021,6.189,10.481,0.941,68.8,0.909,-0.106,0.527
Ethiopia,2020,4.5489999999999995,7.711,0.823,59.5,0.769,0.188,0.784
Ethiopia,2019,4.1,7.705,0.748,59.0,0.754,0.053,0.732
Ethiopia,2021,4.275,7.694,0.764,59.0,0.752,0.08199999999999999,0.7609999999999999
Finland,2020,7.888999999999999,10.75,0.9620000000000001,72.1,0.9620000000000001,-0.11599999999999999,0.16399999999999998
Finland,2021,7.8420000000000005,10.775,0.9540000000000001,72.0,0.9490000000000001,-0.098,0.18600000000000003
Finland,2019,7.78,10.792,0.937,72.0,0.948,-0.052000000000000005,0.195
France,2019,6.69,10.74,0.958,74.0,0.8270000000000001,-0.133,0.568
France,2020,6.7139999999999995,10.642999999999999,0.9470000000000001,74.2,0.823,-0.16899999999999998,0.565
France,2021,6.69,10.704,0.9420000000000001,74.0,0.8220000000000001,-0.147,0.5710000000000001
Gabon,2021,4.852,9.603,0.7759999999999999,59.961999999999996,0.731,-0.2,0.84
Gabon,2019,4.914,9.607000000000001,0.763,60.2,0.736,-0.203,0.846
Gambia,2021,5.051,7.686,0.69,55.16,0.6970000000000001,0.424,0.746
Gambia,2019,5.164,7.699,0.6940000000000001,55.3,0.677,0.41,0.7979999999999999
Georgia,2021,4.891,9.585,0.6709999999999999,64.3,0.7829999999999999,-0.23800000000000002,0.655
Georgia,2020,5.122999999999999,9.568999999999999,0.718,64.1,0.764,-0.221,0.583
Georgia,2019,4.8919999999999995,9.617,0.675,64.3,0.8109999999999999,-0.26,0.647
Germany,2021,7.155,10.873,0.903,72.5,0.875,0.011000000000000001,0.46
Germany,2019,7.035,10.892999999999999,0.8859999999999999,72.5,0.885,0.057,0.462
Germany,2020,7.312,10.833,0.905,72.8,0.8640000000000001,-0.06,0.424
Ghana,2020,5.319,8.59,0.643,58.0,0.8240000000000001,0.2,0.847
Ghana,2019,4.967,8.596,0.746,57.6,0.787,0.11599999999999999,0.857
Ghana,2021,5.088,8.58,0.727,57.586000000000006,0.807,0.12300000000000001,0.848
Greece,2021,5.723,10.279000000000002,0.823,72.6,0.5820000000000001,-0.28800000000000003,0.823
Greece,2020,5.787999999999999,10.215,0.779,72.8,0.565,-0.24100000000000002,0.764
Greece,2019,5.952000000000001,10.319,0.8909999999999999,72.6,0.614,-0.289,0.848
Guatemala,2021,6.435,9.052999999999999,0.813,64.958,0.9059999999999999,-0.038,0.775
Guatemala,2019,6.2620000000000005,9.064,0.774,65.1,0.9009999999999999,-0.062,0.773
Guinea,2021,4.984,7.837999999999999,0.639,55.008,0.6970000000000001,0.095,0.7659999999999999
Guinea,2019,4.768,7.849,0.655,55.5,0.691,0.09699999999999999,0.7559999999999999
Haiti,2021,3.615,7.477,0.54,55.7,0.593,0.42200000000000004,0.721
Honduras,2019,5.93,8.652999999999999,0.797,67.4,0.846,0.063,0.815
Honduras,2021,5.919,8.648,0.812,67.3,0.857,0.081,0.809
Hong Kong S.A.R. of China,2021,5.477,11.0,0.836,76.82,0.7170000000000001,0.067,0.40299999999999997
Hong Kong S.A.R. of China,2019,5.659,11.0,0.856,67.4,0.727,0.067,0.43200000000000005
Hungary,2019,6.0,10.392999999999999,0.9470000000000001,68.0,0.7979999999999999,-0.195,0.884
Hungary,2020,6.037999999999999,10.335,0.943,68.4,0.7709999999999999,-0.12,0.836
Hungary,2021,5.992000000000001,10.357999999999999,0.943,68.0,0.755,-0.18600000000000003,0.8759999999999999
Iceland,2020,7.575,10.824000000000002,0.983,73.0,0.9490000000000001,0.16,0.644
Iceland,2019,7.5329999999999995,10.931,0.982,73.0,0.9590000000000001,-0.12,0.6990000000000001
Iceland,2021,7.553999999999999,10.878,0.983,73.0,0.955,0.16,0.6729999999999999
India,2020,4.225,8.703,0.617,60.9,0.9059999999999999,0.075,0.78
India,2019,3.2489999999999997,8.818,0.561,60.5,0.8759999999999999,0.11199999999999999,0.752
India,2021,3.819,8.755,0.603,60.633,0.893,0.08900000000000001,0.774
Indonesia,2021,5.345,9.365,0.8109999999999999,62.236000000000004,0.873,0.542,0.867
Indonesia,2019,5.347,9.377,0.802,62.3,0.866,0.555,0.861
Iran,2021,4.721,9.584,0.71,66.3,0.608,0.218,0.7140000000000001
Iraq,2021,4.854,9.24,0.746,60.583,0.63,-0.053,0.875
Iraq,2020,4.785,9.167,0.708,61.4,0.7,-0.021,0.8490000000000001
Ireland,2021,7.085,11.342,0.9470000000000001,72.4,0.879,0.077,0.363
Ireland,2019,7.255,11.370999999999999,0.9440000000000001,72.4,0.892,0.07400000000000001,0.373
Ireland,2020,7.035,11.323,0.96,72.5,0.882,0.013999999999999999,0.35600000000000004
Israel,2019,7.332000000000001,10.600999999999999,0.946,73.5,0.8340000000000001,0.085,0.743
Israel,2020,7.195,10.538,0.9590000000000001,73.7,0.831,-0.049,0.748
Israel,2021,7.157,10.575,0.9390000000000001,73.503,0.8,0.031,0.753
Italy,2020,6.4879999999999995,10.562999999999999,0.89,74.0,0.718,-0.15,0.8440000000000001
Italy,2021,6.483,10.623,0.88,73.8,0.693,-0.084,0.866
Italy,2019,6.445,10.655,0.838,73.8,0.7090000000000001,-0.08199999999999999,0.866
Ivory Coast,2021,5.306,8.551,0.644,50.114,0.741,-0.016,0.794
Ivory Coast,2019,5.392,8.564,0.679,50.1,0.736,-0.017,0.799
Ivory Coast,2020,5.257000000000001,8.565,0.613,50.7,0.77,0.016,0.777
Jamaica,2019,6.309,9.186,0.878,67.5,0.8909999999999999,-0.13699999999999998,0.885
Jamaica,2021,6.309,9.186,0.877,67.5,0.89,-0.13699999999999998,0.884
Japan,2019,5.9079999999999995,10.632,0.878,75.1,0.8059999999999999,-0.255,0.617
Japan,2020,6.117999999999999,10.58,0.887,75.2,0.8059999999999999,-0.259,0.609
Japan,2021,5.94,10.610999999999999,0.884,75.1,0.7959999999999999,-0.258,0.638
Jordan,2021,4.395,9.182,0.767,67.0,0.755,-0.16699999999999998,0.705
Jordan,2019,4.453,9.201,0.7929999999999999,67.0,0.726,-0.165,0.609
Jordan,2020,4.093999999999999,9.15,0.7090000000000001,67.2,0.779,-0.15,0.609
Kazakhstan,2020,6.167999999999999,10.135,0.966,65.8,0.872,-0.055999999999999994,0.6609999999999999
Kazakhstan,2019,6.272,10.179,0.951,65.2,0.852,-0.055,0.708
Kazakhstan,2021,6.152,10.155,0.9520000000000001,65.2,0.853,-0.069,0.733
Kenya,2021,4.607,8.361,0.688,60.70399999999999,0.779,0.287,0.825
Kenya,2020,4.547,8.365,0.674,61.3,0.7020000000000001,0.26,0.8370000000000001
Kenya,2019,4.619,8.373,0.6759999999999999,60.7,0.818,0.31,0.794
Kosovo,2019,6.425,9.339,0.843,61.3,0.841,0.247,0.92
Kosovo,2021,6.372000000000001,9.318,0.821,63.813,0.8690000000000001,0.257,0.917
Kuwait,2021,6.106,10.817,0.843,66.9,0.867,-0.10400000000000001,0.736
Kuwait,2019,6.106,10.817,0.8420000000000001,66.9,0.867,-0.10400000000000001,0.92
Kyrgyzstan,2021,5.744,8.538,0.893,64.40100000000001,0.935,0.11900000000000001,0.9079999999999999
Kyrgyzstan,2019,5.685,8.567,0.877,64.4,0.92,-0.002,0.885
Kyrgyzstan,2020,6.25,8.503,0.902,64.7,0.935,0.10300000000000001,0.9309999999999999
Laos,2021,5.03,8.947000000000001,0.728,58.968,0.91,0.12300000000000001,0.6579999999999999
Laos,2020,5.284,8.96,0.66,59.5,0.915,0.141,0.748
Laos,2019,5.197,8.965,0.7290000000000001,59.1,0.9059999999999999,0.061,0.62
Latvia,2021,6.032,10.315,0.927,67.1,0.715,-0.162,0.8
Latvia,2020,6.229,10.3,0.9279999999999999,67.4,0.82,-0.078,0.809
Latvia,2019,5.97,10.335999999999999,0.9359999999999999,67.1,0.698,-0.19399999999999998,0.789
Lebanon,2021,4.584,9.626,0.848,67.355,0.525,-0.073,0.898
Lebanon,2019,4.024,9.597000000000001,0.866,67.6,0.447,-0.081,0.89
Lesotho,2021,3.512,7.926,0.787,48.7,0.715,-0.131,0.915
Lesotho,2019,3.512,7.926,0.79,48.7,0.716,-0.131,0.915
Liberia,2021,4.625,7.287999999999999,0.72,56.498000000000005,0.735,0.05,0.85
Liberia,2019,5.121,7.263999999999999,0.7120000000000001,56.9,0.706,0.051,0.828
Libya,2019,5.33,9.627,0.8270000000000001,62.3,0.762,-0.073,0.6859999999999999
Libya,2021,5.41,9.622,0.8270000000000001,62.3,0.7709999999999999,-0.087,0.667
Lithuania,2021,6.255,10.499,0.935,67.906,0.773,-0.203,0.826
Lithuania,2019,6.064,10.517999999999999,0.9179999999999999,67.9,0.78,-0.251,0.7829999999999999
Lithuania,2020,6.391,10.504000000000001,0.953,68.5,0.8240000000000001,-0.122,0.8290000000000001
Luxembourg,2021,7.324,11.647,0.9079999999999999,72.6,0.907,-0.034,0.386
Luxembourg,2019,7.404,11.648,0.912,72.6,0.93,-0.045,0.39
Madagascar,2019,4.3389999999999995,7.406000000000001,0.701,59.5,0.55,-0.012,0.72
Madagascar,2021,4.208,7.396,0.6859999999999999,59.305,0.552,-0.005,0.8029999999999999
Malawi,2019,3.8689999999999998,6.966,0.5489999999999999,58.3,0.765,0.004,0.68
Malawi,2021,3.6,6.957999999999999,0.537,57.948,0.78,0.038,0.7290000000000001
Malaysia,2019,5.428,10.252,0.8420000000000001,67.2,0.9159999999999999,0.12300000000000001,0.782
Malaysia,2021,5.3839999999999995,10.238,0.8170000000000001,67.102,0.895,0.125,0.8390000000000001
Maldives,2021,5.1979999999999995,9.826,0.9129999999999999,70.6,0.8540000000000001,0.024,0.825
Mali,2021,4.723,7.744,0.7240000000000001,51.968999999999994,0.6970000000000001,-0.036000000000000004,0.8270000000000001
Mali,2019,4.988,7.752000000000001,0.755,52.2,0.67,-0.038,0.846
Malta,2021,6.602,10.674000000000001,0.9309999999999999,72.2,0.927,0.133,0.653
Malta,2019,6.733,10.677,0.922,72.2,0.924,0.087,0.6890000000000001
Mauritania,2021,4.227,8.542,0.795,57.161,0.561,-0.106,0.731
Mauritania,2019,4.1530000000000005,8.556000000000001,0.7979999999999999,57.3,0.628,-0.102,0.743
Mauritius,2021,6.0489999999999995,10.008,0.905,66.70100000000001,0.867,-0.054000000000000006,0.789
Mauritius,2019,6.2410000000000005,10.043,0.9129999999999999,66.7,0.893,-0.053,0.81
Mauritius,2020,6.015,9.972000000000001,0.893,67.0,0.843,-0.037000000000000005,0.772
Mexico,2021,6.317,9.859,0.831,68.597,0.862,-0.147,0.799
Mexico,2019,6.432,9.891,0.852,68.6,0.903,-0.141,0.809
Mexico,2020,5.9639999999999995,9.782,0.779,68.9,0.873,-0.11900000000000001,0.778
Moldova,2019,5.803,9.475,0.809,65.7,0.784,-0.092,0.884
Moldova,2021,5.766,9.454,0.857,65.699,0.8220000000000001,-0.079,0.9179999999999999
Moldova,2020,5.812,9.462,0.8740000000000001,66.4,0.8590000000000001,-0.057999999999999996,0.941
Mongolia,2021,5.6770000000000005,9.4,0.935,62.5,0.708,0.11599999999999999,0.856
Mongolia,2019,5.563,9.418,0.946,62.5,0.711,0.149,0.873
Mongolia,2020,6.011,9.396,0.9179999999999999,62.7,0.718,0.141,0.843
Montenegro,2021,5.581,9.94,0.858,68.699,0.708,-0.034,0.812
Montenegro,2019,5.386,9.97,0.8320000000000001,68.7,0.6940000000000001,-0.105,0.82
Montenegro,2020,5.722,9.913,0.887,68.9,0.802,0.06,0.845
Morocco,2021,4.918,8.902999999999999,0.56,66.208,0.774,-0.23600000000000002,0.8009999999999999
Morocco,2019,5.0569999999999995,8.925,0.535,66.2,0.757,-0.244,0.757
Morocco,2020,4.803,8.871,0.5529999999999999,66.5,0.8190000000000001,-0.22899999999999998,0.8029999999999999
Mozambique,2021,4.794,7.1579999999999995,0.7440000000000001,54.706,0.882,0.061,0.684
Mozambique,2019,4.9319999999999995,7.155,0.742,55.2,0.87,0.073,0.682
Myanmar,2019,4.434,8.545,0.763,59.3,0.899,0.561,0.682
Myanmar,2021,4.426,8.541,0.779,59.302,0.8759999999999999,0.509,0.66
Myanmar,2020,4.431,8.554,0.7959999999999999,59.6,0.825,0.47,0.647
Namibia,2019,4.436,9.173,0.845,56.8,0.7390000000000001,-0.174,0.879
Namibia,2020,4.4510000000000005,9.104,0.741,57.1,0.6659999999999999,-0.10400000000000001,0.81
Namibia,2021,4.574,9.161,0.818,56.799,0.7190000000000001,-0.149,0.847
Nepal,2021,5.269,8.12,0.774,64.233,0.782,0.152,0.727
Nepal,2019,5.449,8.136000000000001,0.772,64.6,0.79,0.16699999999999998,0.7120000000000001
Netherlands,2019,7.425,10.953,0.941,72.4,0.8859999999999999,0.213,0.36
Netherlands,2021,7.4639999999999995,10.932,0.9420000000000001,72.4,0.9129999999999999,0.175,0.33799999999999997
Netherlands,2020,7.504,10.901,0.9440000000000001,72.5,0.935,0.151,0.281
New Zealand,2019,7.205,10.665999999999999,0.9390000000000001,73.4,0.912,0.157,0.23399999999999999
New Zealand,2020,7.257000000000001,10.6,0.9520000000000001,73.6,0.9179999999999999,0.125,0.28300000000000003
New Zealand,2021,7.277,10.642999999999999,0.948,73.4,0.929,0.134,0.242
Nicaragua,2019,6.1129999999999995,8.595,0.8740000000000001,67.8,0.883,0.028999999999999998,0.622
Nicaragua,2021,5.972,8.62,0.8640000000000001,67.657,0.836,0.02,0.664
Niger,2021,5.074,7.098,0.6409999999999999,53.78,0.8059999999999999,0.018000000000000002,0.693
Niger,2019,5.004,7.106,0.677,54.0,0.831,0.026000000000000002,0.7290000000000001
Nigeria,2019,4.356,8.544,0.7340000000000001,50.1,0.7290000000000001,0.032,0.873
Nigeria,2021,4.7589999999999995,8.533,0.74,50.102,0.737,0.037000000000000005,0.878
Nigeria,2020,5.502999999999999,8.484,0.7390000000000001,50.5,0.713,0.099,0.9129999999999999
North Cyprus,2021,5.5360000000000005,10.575999999999999,0.82,73.898,0.795,0.012,0.626
North Macedonia,2019,5.015,9.711,0.815,65.47399999999999,0.725,0.024,0.9229999999999999
North Macedonia,2021,5.101,9.693,0.805,65.47399999999999,0.7509999999999999,0.038,0.905
North Macedonia,2020,5.053999999999999,9.69,0.75,65.56,0.787,0.131,0.877
Norway,2020,7.29,11.042,0.956,73.4,0.965,0.075,0.271
Norway,2019,7.442,11.061,0.9420000000000001,73.3,0.9540000000000001,0.111,0.271
Norway,2021,7.392,11.052999999999999,0.9540000000000001,73.3,0.96,0.09300000000000001,0.27
Pakistan,2019,4.4430000000000005,8.453,0.617,58.9,0.685,0.124,0.7759999999999999
Pakistan,2021,4.934,8.458,0.6509999999999999,58.708999999999996,0.726,0.098,0.787
Palestinian Territories,2021,4.5169999999999995,8.485,0.826,62.25,0.653,-0.163,0.821
Panama,2019,6.086,10.356,0.8859999999999999,69.7,0.883,-0.19899999999999998,0.8690000000000001
Panama,2021,6.18,10.35,0.8959999999999999,69.652,0.872,-0.166,0.856
Paraguay,2021,5.653,9.448,0.893,65.9,0.8759999999999999,0.027999999999999997,0.882
Paraguay,2019,5.653,9.448,0.892,65.9,0.8759999999999999,0.027999999999999997,0.882
Peru,2019,5.999,9.461,0.809,68.4,0.815,-0.13,0.8740000000000001
Peru,2021,5.84,9.458,0.8320000000000001,68.25,0.8220000000000001,-0.154,0.8909999999999999
Philippines,2020,5.08,9.061,0.7809999999999999,62.1,0.932,-0.11599999999999999,0.7440000000000001
Philippines,2019,6.268,9.095,0.845,62.0,0.91,-0.083,0.748
Philippines,2021,5.88,9.076,0.83,62.0,0.917,-0.09699999999999999,0.742
Poland,2021,6.166,10.382,0.898,69.702,0.841,-0.165,0.735
Poland,2019,6.242000000000001,10.407,0.878,69.7,0.883,-0.231,0.696
Poland,2020,6.138999999999999,10.370999999999999,0.953,70.1,0.767,-0.006999999999999999,0.787
Portugal,2019,6.095,10.457,0.8759999999999999,72.6,0.882,-0.23399999999999999,0.915
Portugal,2020,5.768,10.370999999999999,0.875,72.8,0.9129999999999999,-0.23800000000000002,0.867
Portugal,2021,5.928999999999999,10.421,0.879,72.6,0.892,-0.244,0.887
Romania,2019,6.13,10.306,0.8420000000000001,67.5,0.848,-0.221,0.9540000000000001
Romania,2021,6.14,10.284,0.8320000000000001,67.355,0.845,-0.21899999999999997,0.938
Russia,2020,5.495,10.162,0.887,65.1,0.7140000000000001,-0.071,0.823
Russia,2019,5.441,10.205,0.91,64.7,0.715,-0.11599999999999999,0.848
Russia,2021,5.477,10.189,0.903,64.703,0.718,-0.111,0.845
Rwanda,2019,3.2680000000000002,7.707999999999999,0.489,61.7,0.8690000000000001,0.064,0.168
Rwanda,2021,3.415,7.676,0.552,61.4,0.897,0.061,0.16699999999999998
Saudi Arabia,2021,6.494,10.743,0.8909999999999999,66.60300000000001,0.877,-0.149,0.684
Saudi Arabia,2020,6.56,10.700999999999999,0.89,66.9,0.884,-0.111,0.168
Saudi Arabia,2019,6.561,10.757,0.912,66.6,0.8909999999999999,-0.147,0.168
Senegal,2019,5.489,8.13,0.688,60.0,0.759,-0.019,0.7959999999999999
Senegal,2021,5.132000000000001,8.118,0.71,59.802,0.695,-0.046,0.8009999999999999
Serbia,2021,6.077999999999999,9.787,0.873,68.6,0.778,0.002,0.835
Serbia,2019,6.2410000000000005,9.808,0.903,68.6,0.753,-0.04,0.813
Serbia,2020,6.042000000000001,9.788,0.852,69.0,0.843,0.149,0.8240000000000001
Sierra Leone,2021,3.8489999999999998,7.434,0.63,51.651,0.7170000000000001,0.084,0.866
Sierra Leone,2019,3.447,7.449,0.611,52.4,0.718,0.07400000000000001,0.8740000000000001
Singapore,2019,6.377999999999999,11.485999999999999,0.925,77.1,0.938,0.027000000000000003,0.07
Singapore,2021,6.377000000000001,11.488,0.915,76.953,0.927,-0.018000000000000002,0.08199999999999999
Slovakia,2019,6.242999999999999,10.398,0.9329999999999999,69.2,0.7709999999999999,-0.129,0.9259999999999999
Slovakia,2021,6.331,10.369000000000002,0.9359999999999999,69.20100000000001,0.7659999999999999,-0.124,0.9109999999999999
Slovakia,2020,6.519,10.332,0.9540000000000001,69.5,0.762,-0.075,0.9009999999999999
Slovenia,2021,6.461,10.529000000000002,0.948,71.4,0.9490000000000001,-0.10099999999999999,0.8059999999999999
Slovenia,2020,6.462000000000001,10.478,0.953,71.7,0.958,-0.081,0.797
Slovenia,2019,6.665,10.562999999999999,0.9490000000000001,71.4,0.945,-0.102,0.785
South Africa,2019,5.035,9.432,0.848,56.9,0.738,-0.134,0.82
